"response_id","tags","num_per_tag"
137746,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
137746,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
138577,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
138577,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
140207,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
140207,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
140236,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",2
140744,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
140744,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
142472,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
142472,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
143337,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
143337,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
143982,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
143982,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
144973,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
144973,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",4
145390,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
145390,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",4
147169,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
147169,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
148294,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",2
150068,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
150068,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",4
150663,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
150663,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
151334,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
151334,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
151632,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
151632,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
152041,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
152041,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
152088,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
152088,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
153666,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
153666,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
154548,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
154548,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
162722,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
162722,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
164767,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
164767,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",4
166465,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
166465,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
166479,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",2
167101,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
167101,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
167174,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
167174,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
167780,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
167780,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
170560,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
170560,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
170654,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
170654,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
172467,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
172467,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
174768,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",2
174861,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
174861,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
175884,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",2
177418,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
177418,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
180674,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
180674,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
184497,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
184497,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
187335,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
187335,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
188015,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
188015,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
188588,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
188588,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
190390,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
190390,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
190498,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
190498,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
191696,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
191696,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
191891,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
191891,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
194173,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
194173,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
195517,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
195517,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",4
196370,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
196370,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
196664,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
196664,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
197058,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
197058,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
197317,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
197317,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
198161,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",2
198878,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
198878,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
200697,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
200697,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
201761,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
201761,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
203289,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
203289,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
204599,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
204599,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",4
205035,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
205035,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",4
206408,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
206408,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
207890,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
207890,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
207940,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
207940,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
209098,"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/CI_OnlineResource",57
209098,"metadata/idinfo/citation/citeinfo/CI_OnlineResource",5
