response_id, status, redirect, error, date_verified
138537,200,"http://coast.noaa.gov/arcgis/services/dc_slr/Data_Extent/MapServer/WMSServer?request=GetCapabilities&service=WMS","",2015-11-06T10:57:13.230239
139123,200,"https://geo.azmag.gov/gismag/rest/services/maps/MagBaseMapOver_v2/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:14.103782
140007,200,"http://coast.noaa.gov/arcgis/services/CCAP/All_Change_9606/MapServer/WMSServer?request=GetCapabilities&service=WMS","",2015-11-06T10:57:14.323214
140125,200,"http://maps2.dcgis.dc.gov/dcgis/rest/services/DCGIS_DATA/Ortho2013/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:15.011069
140142,200,"http://coast.noaa.gov/arcgis/rest/services/dc_slr/marsh_125/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:15.228344
140776,404,"http://w4.jcommops.org/wmsconnector/com.esri.wms.Esrimap?request=getCapabilities&ServiceName=JCOMM&Service=wms","",2015-11-06T10:57:16.936398
140780,200,"http://coast.noaa.gov/arcgis/rest/services/MarineCadastre/2011PleasureCraftSailingVesselDensity/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:17.168710
141336,200,"http://map.arboretum.harvard.edu/arcgis/rest/services/CollectionResearcher/AerialPhotography/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:18.236868
141530,200,"http://osmc.noaa.gov/thredds/wms/osmc_valid_obs_all?service=WMS&version=1.3.0&request=GetCapabilities","",2015-11-06T10:57:20.233928
141625,200,"http://maps.edc.uri.edu/arcgis/rest/services/Atlas_imageryBaseMapsEarthCover/1951_52_RISPP/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:21.242157
141699,200,"http://coast.noaa.gov/arcgis/rest/services/CCAP/Development_0511/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:21.445949
141817,200,"http://stellwagen.er.usgs.gov/thredds/wms/TSdata/GB_SED/1013DS-A1H.cdf?service=WMS&version=1.3.0&request=GetCapabilities","",2015-11-06T10:57:22.240307
142080,200,"http://gispub.epa.gov/arcgis/services/ORD/ROE_TotalNitrogenDeposition1989_1991/MapServer/WMSServer?request=GetCapabilities&service=WMS","",2015-11-06T10:57:53.077754
143028,200,"http://sedsh127.sedsh.gov.uk/arcgis/services/ScotGov/EconomyBusiness/MapServer/WMSServer?request=GetCapabilities&service=WMS","",2015-11-06T10:57:54.827677
143297,200,"http://www.coast.noaa.gov/arcgis/rest/services/LakeLevels/Elevation/MapServer/WMTS/1.0.0/WMTSCapabilities.xml","",2015-11-06T10:57:55.554450
143355,200,"http://gispub10.epa.gov/arcgis/services/ORD/les_omernik/MapServer/WMSServer?request=GetCapabilities&service=WMS","",2015-11-06T10:58:54.308366
143540,200,"http://coastalmap.marine.usgs.gov/cmgp/services/National/usSEABED/MapServer/WMSServer?request=GetCapabilities&service=WMS","",2015-11-06T10:58:57.381315
